Month,Campaign,Type,Programs,Contacts
March,_ PW C2 Enrolled - Payment Nudge_March 28.xlsx,Payment Nudge,Pathway,899
March,Pathway C2 - Application nudge (pilot filtered out).xlsx,Application Nudge,Pathway,1954
March,_RSVP Reach out.xlsx,Event Invitation,General,4365
March,Pathway RSVP Reach out.xlsx,Event Invitation,Pathway,4365
April,Pathway C2 - Inprogress - April 16.xlsx,In-Progress Follow-up,Pathway,235
April,Pathway C2 - Inprogress - April 9.xlsx,In-Progress Follow-up,Pathway,180
April,Techlite Enrolled - Payment Nudge -April 11.xlsx,Payment Nudge,Techlite,100
April,FLA Payment Remdiner Calls April 30.xlsx,Payment Nudge,General,462
April,Incubation Karibu Invitation call April 4.xlsx,Event Invitation,Incubation,23
April,_PW C2 Enrolled - Payment Nudge_April 3.xlsx,Payment Nudge,Pathway,899
April,Pathway Payment Nudge -April 16.xlsx,Payment Nudge,Pathway,50
April,Techlite Enrolled - Payment Nudge -April 9.xlsx,Payment Nudge,Techlite,100
April,Professional Foundation C7 Assignment Submission Nudge_April 1.xlsx,Application Nudge,Professional Foundation,393
April,Pathway C2 - Inprogress - April 10.xlsx,In-Progress Follow-up,Pathway,221
April,Pathway Enrolled April 30.xlsx,Enrollment Follow-up,Pathway,210
April,_Pathway C2 - Inprogress - April 15.xlsx,In-Progress Follow-up,Pathway,196
April,_Pathway C2 - Inprogress - April 14.xlsx,In-Progress Follow-up,Pathway,50
April,Pathway C2 - Inprogress - April 11.xlsx,In-Progress Follow-up,Pathway,229
April,_PW C2 Enrolled - Payment Nudge_April 4.xlsx,Payment Nudge,Pathway,899
April,PW C2 Enrolled - Payment Nudge_April 2.xlsx,Payment Nudge,Pathway,899
April,Hachaton Calls April 15.xlsx,Hackathon,General,366
April,FA_PaymentReminder April 28.xlsx,Payment Nudge,General,355
April,Previous Cohort Applicants Nudge for BE C5_April 2.xlsx,Application Nudge,Back-End,518
April,Techlite Enrolled - Payment Nudge -April 15.xlsx,Payment Nudge,Techlite,35
April,"Pathway C2 Karibu Invite Confirmed (AA, 18 -22) & Paid - April 25 .xlsx",Event Invitation,"Pathway, Incubation",476
April,Pathway Enrolled April 24.xlsx,Enrollment Follow-up,Pathway,270
April,FA_PaymentReminder April 24.xlsx,Payment Nudge,General,355
April,_Techlite Enrolled - Payment Nudge -April 10.xlsx,Payment Nudge,Techlite,100
April,FA_PaymentReminder April 25.xlsx,Payment Nudge,General,355
April,"Pathway C2 Karibu Invite Confirmed (AA, 18 -22) & Paid - April 29.xlsx",Event Invitation,"Pathway, Incubation",483
April,Pathway Enrolled April 25.xlsx,Enrollment Follow-up,Pathway,60
April,"Previous Cohort Applicants Nudge for AICE C11, AWS C9, BE C5_April 1 .xlsx",Application Nudge,"AiCE, AWS, Back-End",87
April,Previous AICE_C11 & 12 April30.xlsx,Other,AiCE,289
April,Techlite Enrolled - Payment Nudge -April 14.xlsx,Payment Nudge,Techlite,50
April,Professional Foundation C7 Assignment Submission Nudge_April 2.xlsx,Application Nudge,Professional Foundation,393
April,Hachaton Calls April 15 (1).xlsx,Hackathon,General,366
April,"Previous Cohort Applicants Nudge for FE C4, AICE C11, DA C7_April 4.xlsx",Application Nudge,"AiCE, Data Analytics, Front-End",238
April,Pathway Enrolled April 22.xlsx,Enrollment Follow-up,Pathway,319
April,"_Previous Cohort Applicants Nudge for AWS C11, FE C4, BE C4,  DA C7, DS C5, SF C9_April 3.xlsx",Application Nudge,"AWS, Data Analytics, Data Science, Front-End, Back-End, Software Engineering",518
April,Retry Pathway C2 Apr 17.xlsx,Retry/Not Reached,Pathway,198
April,Retry Pathway Enrolled April 17.xlsx,Enrollment Follow-up,Pathway,117
April,FA_PaymentReminder April 23.xlsx,Payment Nudge,General,355
April,Pathway Enrolled April 23.xlsx,Enrollment Follow-up,Pathway,284
April,Pathway C2 Payment April 1.xlsx,Payment Nudge,Pathway,1517
May,Creative tech  - Graphic Design C2 & Content Creation C2 May 21.xlsx,Other,Content Creation,155
May,"_Applicants Nudge for FE C8, AWS C10, BE C8 , DS C6,  May 20.xlsx",Application Nudge,"AWS, Data Science, Front-End, Back-End",288
May,Techlite Payment Nudge - C6(May 29).xlsx,Payment Nudge,Techlite,196
May,Freelancer Academy Submisision calls.xlsx,Other,General,215
May,Founder Academy Final Submission Reminder.xlsx,Assignment Follow-up,General,86
May,_Creative tech - retarget  - Graphic Design C1 &Content Creation C1 May14.xlsx,Other,Content Creation,323
May,Learners Hub Attendance Frequency in 2025.xlsx,Other,General,1272
May,_Techlite Payment Nudge - C10 (May 20).xlsx,Payment Nudge,Techlite,48
May,"Applicants Nudge for FE C8, AWS C10, BE C8 , SF C10,  May 28.xlsx",Application Nudge,"AWS, Front-End, Back-End, Software Engineering",1646
May,"Pathway C2 Karibu Invite Confirmed (AA, 18 -22) & Paid - May 2 .xlsx",Event Invitation,"Pathway, Incubation",475
May,Creative tech - retarget  - Graphic Design C1 May13.xlsx,Other,General,239
May,Pathway C2 Enrolled - retrarget May 30.xlsx,Enrollment Follow-up,Pathway,1847
May,Creative tech - retarget  - Graphic Design C1  May15.xlsx,Other,General,323
May,"Techlight Retargeting. for FE C7, BE C7 , May 22.xlsx",Other,"Front-End, Back-End",384
May,"Techlite Applicants Nudge for FE C8, AWS C10, BE C8 , SF C10,  May 27.xlsx",Application Nudge,"AWS, Front-End, Back-End, Software Engineering, Techlite",1272
May,Techlite Payment Nudge - C10 (May 13).xlsx,Payment Nudge,Techlite,48
May,FreelacnerAcademy_Inperson session reminder.xlsx,Other,General,215
May,"Techlight Retargeting. for FE C7, BE C7 , May 23.xlsx",Other,"Front-End, Back-End",384
May,Techlite Payment Nudge - C10 (May 28).xlsx,Payment Nudge,Techlite,283
May,_ Techlite Payment Nudge - C10 (May 27).xlsx,Payment Nudge,Techlite,177
May,Pathway C2 Enrolled - retrarget.xlsx,Enrollment Follow-up,Pathway,1847
May,"May 10th, immersion session calls.xlsx",Other,General,86
May,"Techlite Applicants Nudge  DS C6 ,DA C10, PD BE C4  May 30.xlsx",Application Nudge,"Data Analytics, Data Science, Back-End, Techlite",1641
May,"_Applicants Nudge for FE C8, AWS C10, BE C8 , DS C6 May 15.xlsx",Application Nudge,"AWS, Data Science, Front-End, Back-End",253
May,_Techlite Payment Nudge - C10 (May 16).xlsx,Payment Nudge,Techlite,48
May,Techlite Payment Nudge - C10 (May 14).xlsx,Payment Nudge,Techlite,48
June,Payment DA C10 June 19.xlsx,Payment Nudge,Data Analytics,174
June,Career Accelarator Payment Nudge - AICE C13 (June 4).xlsx,Payment Nudge,AiCE,165
June,FA 6 weeks pitch deck calls June 6.xlsx,Other,General,25
June,"Techlite FE C8, BE C8 DS C6, DA C10 June 19.xlsx",Other,"Data Analytics, Data Science, Front-End, Back-End, Techlite",327
June,Techlite BE C7 AWS C9 DA C9 DS C5 June 12.xlsx,Other,"AWS, Data Analytics, Data Science, Back-End, Techlite",678
June,Payment DA C10 June 18.xlsx,Payment Nudge,Data Analytics,174
June,"Techlite FE C8, BE C8, DE C1, CS C1 June 18.xlsx",Other,"Front-End, Back-End, Techlite",327
June,FA and FLA Conversion Calls June 26.xlsx,Other,General,30
June,"Techlite DA C10, DS C6 June 18.xlsx",Other,"Data Analytics, Data Science, Techlite",295
June,_ Payment Nudge - All Selected Programs June 26.xlsx,Payment Nudge,General,1569
June,Payment Nudge - All Selected Programs June 24.xlsx,Payment Nudge,General,1569
June,Creative Tech C2 Payment Nudge -  (June 5 ).xlsx,Payment Nudge,General,165
June,FA and FLA Conversion Calls June 27.xlsx,Other,General,30
June,Graphic Design C1 June 17.xlsx,Other,General,896
June,PW C3 - Application Nudge C3 _ June 21 .xlsx,Application Nudge,Pathway,139
June,FE_BE Below 60% Nudge June 24.xlsx,Application Nudge,Back-End,61
June,_Payment Nudge - All Selected Programs June 25.xlsx,Payment Nudge,General,1569
June,_DA_C8_Call Center Activation Nudge_Jun25.xlsx,Application Nudge,Virtual Assistant,145
June,Payment Nudge - All Selected Programs June 27.xlsx,Payment Nudge,General,1569
June,Front-end C7 June 10.xlsx,Other,Front-End,569
June,"_Techlite BE C7, DA C9, DS C5 June 13.xlsx",Other,"Data Analytics, Data Science, Back-End, Techlite",678
June,FA and FLA Conversion Calls June 25.xlsx,Other,General,30
June,FA and FLA  Payment June 19 .xlsx,Payment Nudge,General,174
June,Pathway C2 Enrolled - retrarget June 11.xlsx,Enrollment Follow-up,Pathway,129
June,FE_BE Below 60% Nudge June 25.xlsx,Application Nudge,Back-End,61
June,Back End C7 June 11.xlsx,Other,General,678
June,Techlite Applicants Nudge CC C1 FE BE jun 5.xlsx,Application Nudge,"Front-End, Back-End, Techlite, Content Creation",1641
June,Techlite Applicants Nudge AICE C13 DA C10 jun 5.xlsx,Application Nudge,"AiCE, Data Analytics, Techlite",1641
June,Techlite Applicants Nudge AICE C13 DA C10 jun 4.xlsx,Application Nudge,"AiCE, Data Analytics, Techlite",1641
June,_Yet to Activate_ C2 ProDev & C6 FE_BE June 26.xlsx,Other,"Virtual Assistant, Back-End",69
June,_Pathway C2 Enrolled - retrarget June 10.xlsx,Enrollment Follow-up,Pathway,129
June,PW C3 - Application Nudge C3 _ June 24 .xlsx,Application Nudge,Pathway,139
June,June 17. FA and FLA Conversion Calls.xlsx,Other,General,258
June,"Career Accelarator Payment Nudge - C6, VA C11 (June 3).xlsx",Payment Nudge,Virtual Assistant,165
June,Payment Nudge - All Selected Programs June 20.xlsx,Payment Nudge,General,1569
July,PW Inprogress App Nudge C3.xlsx,Application Nudge,Pathway,165
July,FA and FLA Conversion Calls JUL 2 (4).xlsx,Other,General,30
July,PF_C10_Activation_Nudge_July8 (9).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,Application Nudge VA - July.xlsx,Application Nudge,Virtual Assistant,747
July,_PW Payment Nudge  C3 JUL 8 .xlsx,Payment Nudge,Pathway,178
July,Cursor Hackathon Cyber Security - Application nudge _ July 29.xlsx,Application Nudge,General,999
July,PW C3 - Application Nudge C3 _ July 1 .xlsx,Application Nudge,Pathway,139
July,_PW Confirm Nudge C3 July 8 (1).xlsx,Application Nudge,Pathway,55
July,FA and FLA Conversion Calls JUL 2 (2).xlsx,Other,General,30
July,PF_C10_Activation_Nudge_July8 (8).xlsx,Application Nudge,"Pathway, Virtual Assistant",100
July,AI Collective _ AICE - July.xlsx,Other,AiCE,482
July,AI Collective _ AICE - July (1).xlsx,Other,AiCE,482
July,FA and FLA Conversion Calls JUL 2.xlsx,Other,General,30
July,ALX _ AIESEC Induction Warm Call _ 2nd Round.xlsx,Other,General,218
July,FA and FLA Conversion Calls JUL 2 (3).xlsx,Other,General,30
July,"ALX x AIESEC _ Saturday, July 12.xlsx",Other,General,283
July,All Programs Current Cohort _ Application Nudge July 15 (1).xlsx,Application Nudge,General,403
July,ALX x Cursor Hackathon.xlsx,Hackathon,General,130
July,All programs current cohort Application nudge _ July 24.xlsx,Application Nudge,General,982
July,FA and FLA Conversion Calls JUL 2 (1).xlsx,Other,General,30
July,_ Payment Nudge - All Selected Programs (3).xlsx,Payment Nudge,General,1569
July,All programs current cohort Application nudge _ July 24 (1).xlsx,Application Nudge,General,982
